DT,VPH,TPH,CPU,MEM,IO
1/1/2014 0:00,49299,17579,18.1,46.6,12.9
1/1/2014 1:00,28372,9092,16.6,37.9,14.1
1/1/2014 2:00,6528,2051,11.5,40.1,11.4
1/1/2014 3:00,1291,463,13.7,45.6,11.9
1/1/2014 4:00,4709,1588,18.8,45,15.1
1/1/2014 5:00,17840,5946,13.4,44.3,13.3
1/1/2014 6:00,33049,10937,14.8,40.2,13.4
1/1/2014 7:00,58963,18804,20,47.1,11.3
1/1/2014 8:00,101816,33926,22.6,51,13.8
1/1/2014 9:00,148614,46441,31.6,54.6,15.6
1/1/2014 10:00,161613,55426,31.4,57.3,12.4
1/1/2014 11:00,252282,74991,29.1,65.8,8.7
1/1/2014 12:00,206084,68053,33.9,57.8,16.8
1/1/2014 13:00,152169,55285,29.7,55.7,13.1
1/1/2014 14:00,151879,47154,23.5,52.8,15.2
1/1/2014 15:00,225312,67071,30.4,56,9.8
1/1/2014 16:00,114919,43605,24.5,49,9.8
1/1/2014 17:00,184466,58657,28.1,60,9.7
1/1/2014 18:00,195612,58847,31,58.1,14.5
1/1/2014 19:00,157577,54428,25.2,57.1,13.7
1/1/2014 20:00,198395,61469,27.8,56.5,10.5
1/1/2014 21:00,202461,64110,31.7,54.6,15.5
1/1/2014 22:00,186187,56225,29,52.8,12.8
1/1/2014 23:00,91955,32582,23.7,53.4,11.8
1/2/2014 0:00,51428,19687,24.5,44,15.5
1/2/2014 1:00,28917,9535,23.3,42.2,13.7
1/2/2014 2:00,3913,1294,14.7,39.4,15.7
1/2/2014 3:00,1224,415,17.1,47,13.6
1/2/2014 4:00,6470,2143,15.8,37.7,11.4
1/2/2014 5:00,19928,6842,15.6,37.7,14.6
1/2/2014 6:00,12860,4183,15.9,39,12.9
1/2/2014 7:00,52899,17988,18.5,43.7,14
1/2/2014 8:00,77807,26662,25.9,51.5,15.7
1/2/2014 9:00,120585,37940,25.9,47.4,12.6
1/2/2014 10:00,214661,67380,30,62.3,12.9
1/2/2014 11:00,205834,72339,30.5,63.5,13.7
1/2/2014 12:00,179164,63114,30.5,53.9,12.8
1/2/2014 13:00,170520,55522,29.4,56.8,11.3
1/2/2014 14:00,168021,56942,30.4,60.9,15
1/2/2014 15:00,178840,61220,23.4,52.4,14.4
1/2/2014 16:00,173890,63529,27.5,53.1,11.8
1/2/2014 17:00,181006,62278,27.3,59.9,14.3
1/2/2014 18:00,152600,52700,26.3,58.1,16.9
1/2/2014 19:00,150832,59151,28,53.5,15.4
1/2/2014 20:00,104379,39325,23.8,51.1,10
1/2/2014 21:00,172088,58006,28.6,64.1,16.4
1/2/2014 22:00,188473,55136,30.2,58.7,14.6
1/2/2014 23:00,94319,33380,28.5,45.8,16
1/3/2014 0:00,60616,17141,18.2,49.4,15.1
1/3/2014 1:00,25107,8950,18.6,37.3,14.5
1/3/2014 2:00,6506,2171,14.9,42.9,15.1
1/3/2014 3:00,857,276,11.3,39.5,11.4
1/3/2014 4:00,4456,1441,10.4,42.3,13.7
1/3/2014 5:00,17153,5537,10.3,38.6,14.6
1/3/2014 6:00,47202,15042,17.7,41.5,15
1/3/2014 7:00,65844,21267,17.1,42,14
1/3/2014 8:00,84127,26613,23.9,49.8,12.8
1/3/2014 9:00,135714,46513,28.3,54.6,14.5
1/3/2014 10:00,139235,49542,26.8,54.7,14.5
1/3/2014 11:00,152544,54711,29,57.4,13.3
1/3/2014 12:00,220091,69869,35.6,58.1,11.7
1/3/2014 13:00,139207,45684,26.4,60.9,11.4
1/3/2014 14:00,168321,52933,26.4,57.1,12.5
1/3/2014 15:00,178464,58374,31.4,55.9,12.3
1/3/2014 16:00,132326,40651,26.6,52.8,13.1
1/3/2014 17:00,180347,56826,27.8,59.2,14.2
1/3/2014 18:00,125436,41859,29.2,51.3,13
1/3/2014 19:00,182602,54397,27.2,59.9,14.1
1/3/2014 20:00,151197,51473,26.8,60.2,12.3
1/3/2014 21:00,154122,58285,29.5,54.1,10.6
1/3/2014 22:00,129545,45603,30.4,56.9,13.1
1/3/2014 23:00,92102,31576,19.2,46.8,15
