Datetime,VPH,TPH,CPU,MEM,IO,StorageGB,StorageCapacityGB
1/1/2014 0:00,49299,17579,16.8,24.7,24.3,4.770048,64
1/1/2014 1:00,28372,9092,16.5,22.5,14.6,4.770915,64
1/1/2014 2:00,6528,2051,12.5,25.6,13.6,4.771111,64
1/1/2014 3:00,1291,463,16.2,20.4,5.5,4.771155,64
1/1/2014 4:00,4709,1588,15.7,23.8,7.5,4.771306,64
1/1/2014 5:00,17840,5946,14.1,26.8,14.2,4.771873,64
1/1/2014 6:00,33049,10937,9.9,30.5,15,4.772916,64
1/1/2014 7:00,58963,18804,21.1,31.6,20.7,4.77471,64
1/1/2014 8:00,101816,33926,21.1,28.2,34.1,4.777945,64
1/1/2014 9:00,148614,46441,19.9,39,47.5,4.782374,64
1/1/2014 10:00,161613,55426,23.7,41.9,50.6,4.78766,64
1/1/2014 11:00,252282,74991,23.9,45.8,66.7,4.794812,64
1/1/2014 12:00,206084,68053,27.9,50.3,62.6,4.801302,64
1/1/2014 13:00,152169,55285,25.7,40.3,53.7,4.806574,64
1/1/2014 14:00,151879,47154,23.7,39,41.9,4.811071,64
1/1/2014 15:00,225312,67071,22.7,47.1,59.6,4.817467,64
1/1/2014 16:00,114919,43605,21.3,39.8,46.2,4.821626,64
1/1/2014 17:00,184466,58657,24.8,39.4,57.7,4.82722,64
1/1/2014 18:00,195612,58847,23.8,38.3,55.9,4.832832,64
1/1/2014 19:00,157577,54428,24.7,38.9,50.7,4.838023,64
1/1/2014 20:00,198395,61469,23.6,39.6,53.3,4.843885,64
1/1/2014 21:00,202461,64110,25.9,44.5,61.4,4.849999,64
1/1/2014 22:00,186187,56225,23.4,43.9,56.1,4.855361,64
1/1/2014 23:00,91955,32582,22.7,33.1,34.6,4.858468,64
1/2/2014 0:00,51428,19687,19.5,31,22.1,4.860346,64
1/2/2014 1:00,28917,9535,20.2,27.4,13.5,4.861255,64
1/2/2014 2:00,3913,1294,11.4,27.5,6.9,4.861378,64
