DT,VPH,ApacheRPH,TPH,CPU,MEM,IO
1/1/2014 0:00,49299,145697,17579,12.6,44,34.3
1/1/2014 1:00,28372,82647,9092,9,46.8,25.8
1/1/2014 2:00,6528,18749,2051,5.6,41.4,38.5
1/1/2014 3:00,1291,4042,463,5.6,45.2,23.8
1/1/2014 4:00,4709,14458,1588,5.1,46.3,21
1/1/2014 5:00,17840,51779,5946,7.8,47.1,20.9
1/1/2014 6:00,33049,92960,10937,8.5,45.8,20.3
1/1/2014 7:00,58963,176171,18804,13.4,41.1,22.9
1/1/2014 8:00,101816,300732,33926,18.7,42.5,21.3
1/1/2014 9:00,148614,424525,46441,22.8,44.6,38.6
1/1/2014 10:00,161613,472159,55426,25.9,50,17.5
1/1/2014 11:00,252282,760597,74991,39.2,42.1,24.2
1/1/2014 12:00,206084,604698,68053,30.6,47.3,24.9
1/1/2014 13:00,152169,468393,55285,26.7,44.3,25
1/1/2014 14:00,151879,460066,47154,26.7,44,24.2
1/1/2014 15:00,225312,621566,67071,34,43.6,23.1
1/1/2014 16:00,114919,366804,43605,21.4,50.2,23.3
1/1/2014 17:00,184466,521205,58657,28,43.4,29.1
1/1/2014 18:00,195612,612808,58847,31.1,47.7,27.5
1/1/2014 19:00,157577,478992,54428,27.3,47.5,20.7
1/1/2014 20:00,198395,599417,61469,31.8,39.5,30.1
1/1/2014 21:00,202461,622212,64110,33.7,46.4,17.9
1/1/2014 22:00,186187,535294,56225,27.7,45.4,21.9
1/1/2014 23:00,91955,271102,32582,16,44.5,29
1/2/2014 0:00,51428,155590,19687,12,44.6,24.5
1/2/2014 1:00,28917,85216,9535,8.1,50.6,26.9
1/2/2014 2:00,3913,11513,1294,4.8,48.5,34
1/2/2014 3:00,1224,3571,415,6.4,40.8,18.7
1/2/2014 4:00,6470,19499,2143,3.2,44.9,9.1
1/2/2014 5:00,19928,57881,6842,4.6,44.3,21.1
1/2/2014 6:00,12860,39587,4183,6.1,44.1,29.4
1/2/2014 7:00,52899,156115,17988,11.5,43.4,21.3
1/2/2014 8:00,77807,234513,26662,14.6,44.1,25.9
1/2/2014 9:00,120585,360215,37940,20.8,39.7,19.5
1/2/2014 10:00,214661,615367,67380,32.7,47.9,36
1/2/2014 11:00,205834,609024,72339,31.9,46,30.1
1/2/2014 12:00,179164,522058,63114,28.7,46,31.9
1/2/2014 13:00,170520,517797,55522,27.9,43.6,23
1/2/2014 14:00,168021,508976,56942,27.2,45.5,19.3
1/2/2014 15:00,178840,526163,61220,26.9,45.3,25.6
1/2/2014 16:00,173890,528997,63529,27.9,42.5,21.7
1/2/2014 17:00,181006,525506,62278,29.7,41.9,15.3
1/2/2014 18:00,152600,461913,52700,25.6,46,36.7
1/2/2014 19:00,150832,475174,59151,26.1,42.8,27.8
1/2/2014 20:00,104379,316932,39325,22.9,43.9,26.3
1/2/2014 21:00,172088,507459,58006,28.2,45.3,33.4
1/2/2014 22:00,188473,540034,55136,28.2,44.9,17.3
1/2/2014 23:00,94319,286620,33380,16.8,42.2,24.8
1/3/2014 0:00,60616,198819,17141,13.1,42.3,20.2
1/3/2014 1:00,25107,77373,8950,8.8,42.7,29
1/3/2014 2:00,6506,21024,2171,6.7,44.9,33.9
1/3/2014 3:00,857,2532,276,8.8,48.2,31.8
1/3/2014 4:00,4456,13099,1441,7.5,40.8,23.9
1/3/2014 5:00,17153,50351,5537,6.4,40,30.6
1/3/2014 6:00,47202,141390,15042,12.5,47.5,24.9
1/3/2014 7:00,65844,202867,21267,13.4,42.7,33.5
1/3/2014 8:00,84127,267157,26613,18.5,49,25.4
1/3/2014 9:00,135714,393792,46513,21.5,43.9,22
1/3/2014 10:00,139235,410125,49542,22.8,41.9,30.8
1/3/2014 11:00,152544,456681,54711,23.7,48,16.2
1/3/2014 12:00,220091,663361,69869,34.2,45.1,21.3
1/3/2014 13:00,139207,423554,45684,24.1,44.9,32.6
1/3/2014 14:00,168321,507686,52933,28,45.5,32.4
1/3/2014 15:00,178464,510059,58374,28,43.8,28.8
1/3/2014 16:00,132326,393874,40651,23,46.4,16.1
1/3/2014 17:00,180347,558329,56826,30.8,46.7,19.6
1/3/2014 18:00,125436,373403,41859,23.9,47.9,17.1
1/3/2014 19:00,182602,543875,54397,32.1,46,27.8
1/3/2014 20:00,151197,458592,51473,26.6,49.5,25
1/3/2014 21:00,154122,445780,58285,25,46.7,24.9
1/3/2014 22:00,129545,422974,45603,23.6,42.8,38.6
1/3/2014 23:00,92102,279553,31576,17.6,47.7,26.5
1/4/2014 0:00,57535,165968,18134,13,44.2,18.1
1/4/2014 1:00,23330,69525,8074,10.2,47,24.6
1/4/2014 2:00,4679,13931,1670,5.4,44.8,29.6
1/4/2014 3:00,1089,3351,383,6.3,41.2,28.3
1/4/2014 4:00,6168,19367,2137,6.8,47.2,25.7
1/4/2014 5:00,17781,54091,5792,5.6,47.4,26.2
1/4/2014 6:00,32486,99702,11654,7.4,41.1,22.6
1/4/2014 7:00,49218,149822,17688,14.3,41.4,25.9
1/4/2014 8:00,90787,262503,32574,17.3,47.6,31.8
1/4/2014 9:00,97153,292722,33258,18.8,45.7,27.9
1/4/2014 10:00,168787,502192,56045,24.5,47.4,22.3
1/4/2014 11:00,149059,435683,53694,22.1,44.8,27.2
1/4/2014 12:00,174629,512459,54759,27,46.1,20
1/4/2014 13:00,168794,531642,51704,30.2,42,26.8
1/4/2014 14:00,127065,383279,43075,22.6,40.3,31.8
1/4/2014 15:00,135015,426578,45213,23.8,43.8,22.5
1/4/2014 16:00,118962,358580,40874,21.1,42.1,29
1/4/2014 17:00,131176,399514,42305,21,43.7,31.3
1/4/2014 18:00,123941,389442,41588,22.5,44.2,27.3
1/4/2014 19:00,102262,319101,35741,18.4,49.3,20.2
1/4/2014 20:00,95038,286730,32909,18.8,45,36.6
1/4/2014 21:00,66292,201918,22522,15.2,45.9,21.9
1/4/2014 22:00,84949,260239,26991,14,45,30
1/4/2014 23:00,64133,190670,22271,13.2,44.6,20.1
1/5/2014 0:00,47411,148991,17233,10.2,48,22.4
1/5/2014 1:00,20316,60965,7294,9.4,43.5,23.7
1/5/2014 2:00,3706,11530,1365,4.4,39.9,24
